timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector,run_id,fault_order_hash,intensity_seed
1774292483,normal,sw-wk3,0.096444444,0.434718511,0,0,1967.133333,5250.333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292483,normal,k3s-wk1,0.297333333,0.730670737,191.6,176.4,9006.233333,4180.166667,0,87,3,0,79,0,"{""process_exit"": 87, ""process_exec"": 87, ""process_kprobe"": 79}",0449aaec,4a9d4eec,1760
1774292483,normal,sw-wk2,0.102444444,0.411993267,0,0,1716.1,4305.366667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292493,normal,sw-wk3,0.096444444,0.434718511,0,0,1967.133333,5250.333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292493,normal,k3s-wk1,0.297333333,0.730670737,191.6,176.4,9006.233333,4180.166667,0,33,3,0,30,0,"{""process_exit"": 33, ""process_exec"": 33, ""process_kprobe"": 30}",0449aaec,4a9d4eec,1760
1774292493,normal,sw-wk2,0.328333333,0.413501329,0,0,2037.9,1578.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292503,normal,sw-wk3,0.074555556,0.434714532,0,0,882.8333333,4984.833333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292503,normal,k3s-wk1,0.297333333,0.730670737,191.6,176.4,9006.233333,4180.166667,0,36,3,0,37,0,"{""process_kprobe"": 37, ""process_exit"": 36, ""process_exec"": 36}",0449aaec,4a9d4eec,1760
1774292503,normal,sw-wk2,0.328333333,0.413501329,0,0,2037.9,1578.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292513,normal,sw-wk3,0.074555556,0.434714532,0,0,882.8333333,4984.833333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292513,normal,k3s-wk1,0.288122809,0.724434473,380.2409157,277.2194862,5514.042327,909.4236656,0,12,2,0,10,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 10}",0449aaec,4a9d4eec,1760
1774292513,normal,sw-wk2,0.328333333,0.413501329,0,0,2037.9,1578.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292523,normal,sw-wk3,0.074555556,0.434714532,0,0,882.8333333,4984.833333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292523,normal,k3s-wk1,0.288122809,0.724434473,380.2409157,277.2194862,5514.042327,909.4236656,0,33,3,0,28,0,"{""process_exit"": 33, ""process_exec"": 33, ""process_kprobe"": 28}",0449aaec,4a9d4eec,1760
1774292523,normal,sw-wk2,0.334333333,0.413626669,0,0,214.2666667,558.4333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292533,normal,sw-wk3,0.110333333,0.43442605,0,0,9432.733333,5883.566667,0,2,2,0,0,0,"{""process_exec"": 2}",0449aaec,4a9d4eec,1760
1774292533,normal,k3s-wk1,0.288122809,0.724434473,380.2409157,277.2194862,5514.042327,909.4236656,0,75,3,0,70,0,"{""process_exit"": 75, ""process_exec"": 75, ""process_kprobe"": 70}",0449aaec,4a9d4eec,1760
