timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1772026646,normal,sw-wk3,0.15777718514567862,0.2947029616308863,0.0,0.0,0,0,0,0,0,{}
1772026656,normal,k3s-wk1,0.2295555555555565,0.500952085178396,8.133333333333333,8.6,0,0,0,0,0,{}
1772026656,normal,sw-wk2,0.18986878039032684,0.4260029918678485,4.4627989076134025,5.994804502764271,0,0,0,0,0,{}
1772026656,normal,sw-wk3,0.12356704878698976,0.29481038241800217,0.0,0.0,0,0,0,0,0,{}
1772026666,normal,k3s-wk1,0.17526688416894087,0.5005349310642957,0.0,0.0,0,0,0,0,0,{}
1772026666,normal,sw-wk2,0.18986878039032684,0.4260029918678485,4.462798907613402,5.994804502764271,0,0,0,0,0,{}
1772026666,normal,sw-wk3,0.12356704878698976,0.29481038241800217,0.0,0.0,0,0,0,0,0,{}
1772026676,normal,k3s-wk1,0.17526688416894087,0.5005349310642957,0.0,0.0,0,0,0,0,0,{}
1772026676,normal,sw-wk2,0.15204483287744308,0.4261561659531804,0.0,0.0,0,0,0,0,0,{}
1772026676,normal,sw-wk3,0.12356704878698976,0.29481038241800217,0.0,0.0,0,0,0,0,0,{}
1772026686,normal,k3s-wk1,0.17526688416894087,0.5005349310642957,0.0,0.0,29,4,0,1,0,"{""process_kprobe"": 1, ""process_exec"": 29, ""process_exit"": 28}"
1772026686,normal,sw-wk2,0.15204483287744308,0.4261561659531804,0.0,0.0,0,0,0,0,0,{}
1772026686,normal,sw-wk3,0.1259999999999991,0.2958109871572481,0.0,0.0,0,0,0,0,0,{}
1772026696,normal,k3s-wk1,0.22234830785661863,0.5026470205063488,0.0,0.0,76,3,0,4,0,"{""process_exec"": 76, ""process_exit"": 77, ""process_kprobe"": 4}"
1772026696,normal,sw-wk2,0.15204483287744308,0.4261561659531804,0.0,0.0,0,0,0,0,0,{}
1772026696,normal,sw-wk3,0.1259999999999991,0.2958109871572481,0.0,0.0,0,0,0,0,0,{}
1772026706,normal,k3s-wk1,0.22234830785661863,0.5026470205063488,0.0,0.0,0,0,0,0,0,{}
1772026706,normal,sw-wk2,0.19372583011068145,0.42941061794802426,0.0,0.0,0,0,0,0,0,{}
1772026706,normal,sw-wk3,0.1259999999999991,0.2958109871572481,0.0,0.0,0,0,0,0,0,{}
1772026716,normal,k3s-wk1,0.22234830785661863,0.5026470205063488,0.0,0.0,0,0,0,0,0,{}
1772026716,normal,sw-wk2,0.19372583011068145,0.42941061794802426,0.0,0.0,0,0,0,0,0,{}
1772026716,normal,sw-wk3,0.10592824753267549,0.29656293266705924,0.0,0.0,0,0,0,0,0,{}
1772026726,normal,k3s-wk1,0.1984444444444433,0.504416964618225,0.0,0.0,0,0,0,0,0,{}
1772026726,normal,sw-wk2,0.19372583011068145,0.42941061794802426,0.0,0.0,0,0,0,0,0,{}
1772026726,normal,sw-wk3,0.10592824753267549,0.29656293266705924,0.0,0.0,0,0,0,0,0,{}
1772026736,normal,k3s-wk1,0.1984444444444433,0.504416964618225,0.0,0.0,0,0,0,0,0,{}
1772026736,normal,sw-wk2,0.14062500000000133,0.42949615672294983,0.0,0.0,0,0,0,0,0,{}
1772026736,normal,sw-wk3,0.10592824753267549,0.29656293266705924,0.0,0.0,0,0,0,0,0,{}
1772026746,normal,k3s-wk1,0.1984444444444433,0.504416964618225,0.0,0.0,29,4,0,0,0,"{""process_exec"": 29, ""process_exit"": 28}"
1772026746,normal,sw-wk2,0.14062500000000133,0.42949615672294983,0.0,0.0,0,0,0,0,0,{}
1772026746,normal,sw-wk3,0.11817636472705328,0.2974899342743925,4.465773511964273,5.99880023995201,0,0,0,0,0,{}
