timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1774218395,normal,sw-wk2,0.13932493061726914,0.40248810757792497,0.0,0.0,4890.47948135716,4461.578964688847,0,0,0,0,0,0,{}
1774218395,normal,k3s-wk1,0.2680000000000291,0.707485866784575,0.0,0.0,9486.8,8726.8,0,0,0,0,0,0,{}
1774218395,normal,sw-wk3,0.11157782444906295,0.3971295102580019,0.0,0.0,2700.2700270027003,4948.428176150948,0,0,0,0,0,0,{}
1774218405,normal,sw-wk2,0.13932493061726914,0.40248810757792497,0.0,0.0,4890.47948135716,4461.578964688847,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774218405,normal,k3s-wk1,0.28511111111110954,0.7303437766478225,94.53333333333333,48.8,9385.966666666667,1630.2333333333333,0,12,2,0,8,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 8}"
1774218405,normal,sw-wk3,0.11157782444906306,0.3971295102580019,0.0,0.0,2700.2700270027003,4948.428176150948,0,0,0,0,0,0,{}
1774218415,normal,sw-wk2,0.13932493061726914,0.40248810757792497,0.0,6.076975016880486,606.9885212694126,4460.567184334909,0,0,0,0,0,0,{}
1774218415,normal,k3s-wk1,0.28511111111110954,0.7303437766478225,94.53333333333333,48.8,9385.966666666667,1630.2333333333333,0,33,3,0,29,0,"{""process_exit"": 33, ""process_exec"": 33, ""process_kprobe"": 29}"
1774218415,normal,sw-wk3,0.11157782444906306,0.3971295102580019,0.0,0.0,2700.2700270027003,4948.428176150948,0,0,0,0,0,0,{}
1774218425,normal,sw-wk2,0.07708755345489082,0.40327198282636767,4.523970290344362,6.076975016880486,606.9885212694126,4460.567184334909,0,2,2,0,0,0,"{""process_exec"": 2}"
1774218425,normal,k3s-wk1,0.28511111111110954,0.7303437766478225,94.53333333333333,48.8,9385.966666666667,1630.2333333333333,0,57,3,0,53,0,"{""process_exit"": 58, ""process_exec"": 57, ""process_kprobe"": 53}"
1774218425,normal,sw-wk3,0.11388888888890913,0.39723495519584906,0.0,0.0,2293.8333333333335,5126.833333333333,0,0,0,0,0,0,{}
1774218435,normal,sw-wk2,0.07708755345489082,0.40327198282636767,4.523970290344362,6.076975016880486,606.9885212694126,4460.567184334909,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774218435,normal,k3s-wk1,0.27222222222222214,0.7347600774826559,277.20000000000005,140.4,10005.433333333332,4219.7,0,12,2,0,13,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 13}"
1774218435,normal,sw-wk3,0.11388888888890913,0.39723495519584906,0.0,0.0,2293.8333333333335,5126.833333333333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774218445,normal,sw-wk2,0.07708755345489082,0.40327198282636767,2.24771873322598,3.0193236714975846,2917.153113258186,16245.605206655933,0,104,5,0,0,0,"{""process_exit"": 106, ""process_exec"": 104}"
1774218445,normal,k3s-wk1,0.27222222222222214,0.7347600774826559,277.2,140.4,10005.433333333332,4219.7,0,54,3,0,49,0,"{""process_exit"": 54, ""process_exec"": 54, ""process_kprobe"": 49}"
1774218445,normal,sw-wk3,0.11388888888890913,0.39723495519584906,0.0,0.0,2293.8333333333335,5126.833333333333,0,0,0,0,0,0,{}
1774218455,normal,sw-wk2,0.14555274036538857,0.4069327200272168,0.0,0.0,5198.359781304173,27882.91772236298,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774218455,normal,k3s-wk1,0.27222222222222214,0.7347600774826559,277.2,140.4,10005.433333333332,4219.7,0,60,3,0,55,0,"{""process_kprobe"": 55, ""process_exit"": 60, ""process_exec"": 60}"
1774218455,normal,sw-wk3,0.10639290713952088,0.3972289866144615,0.0,0.0,2626.9915338977403,5170.95526964869,0,0,0,0,0,0,{}
1774218465,normal,sw-wk2,0.14555274036538857,0.4069327200272168,0.0,0.0,5198.359781304173,27882.91772236298,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}"
1774218465,normal,k3s-wk1,0.2796666666666877,0.741025276610976,279.3333333333333,142.4,32514.366666666665,6157.633333333333,0,54,3,0,49,0,"{""process_exit"": 54, ""process_exec"": 54, ""process_kprobe"": 49}"
1774218465,normal,sw-wk3,0.10639290713952088,0.3972289866144615,0.0,0.0,2626.9915338977403,5170.95526964869,0,0,0,0,0,0,{}
