timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,net_drop_rate,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1776376451,normal,k3s-wk1,0.21988888888887836,0.5603699443367653,0.0,0.0,9545.666666666666,1355.3333333333333,0.0,0,0,0,0,0,0,{}
1776376451,normal,sw-wk3,0.14522222222221892,0.3356747836945857,116.06666666666666,100.86666666666666,2200.733333333333,5022.5,0.0,0,0,0,0,0,0,{}
1776376451,normal,sw-wk2,0.10811111111111638,0.28172107751315667,110.93333333333334,100.86666666666666,487.09999999999997,3478.6666666666665,0.0,0,0,0,0,0,0,{}
1776376461,normal,k3s-wk1,0.2893169799582451,0.589223164304187,137.1817091054526,137.1817091054526,9337.621650446608,5097.087055059325,0.0,0,12,2,0,8,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 8}"
1776376461,normal,sw-wk3,0.14522222222221892,0.3356747836945857,116.06666666666666,100.86666666666666,2200.733333333333,5022.5,0.0,0,0,0,0,0,0,{}
1776376461,normal,sw-wk2,0.10811111111111638,0.28172107751315667,110.93333333333334,100.86666666666666,487.09999999999997,3478.6666666666665,0.0,0,104,5,0,0,0,"{""process_exit"": 104, ""process_exec"": 104}"
1776376471,normal,k3s-wk1,0.2893169799582451,0.589223164304187,137.1817091054526,137.1817091054526,9337.621650446608,5097.087055059325,0.0,0,60,3,0,52,0,"{""process_exit"": 60, ""process_exec"": 60, ""process_kprobe"": 52}"
1776376471,normal,sw-wk3,0.14522222222221892,0.3356747836945857,116.06666666666666,100.86666666666666,2200.733333333333,5022.5,0.0,0,0,0,0,0,0,{}
1776376471,normal,sw-wk2,0.19799999999999685,0.2781834167972782,112.6,104.0,5472.766666666666,27685.7,0.0,0,0,0,0,0,0,"{""process_exit"": 2}"
1776376481,normal,k3s-wk1,0.2893169799582451,0.589223164304187,137.1817091054526,137.1817091054526,9337.621650446608,5097.087055059325,0.0,0,12,2,0,8,0,"{""process_exit"": 12, ""process_exec"": 12, ""process_kprobe"": 8}"
