node,timestamp,cpu,mem,net_out,net_in,latency
kind-worker,1768909076.3556983,1.3,20.4,1218904,2203424,3.1058788299560547
kind-worker2,1768909081.3663087,1.4,20.4,1218471,2203373,3.3254623413085938
kind-worker,1768909081.3658645,1.4,20.4,1219451,2204423,3.355264663696289
kind-worker2,1768909084.5650918,1.3,20.4,1219018,2204372,3.5729408264160156
kind-worker,1768909084.5686567,1.3,20.4,1219998,2205422,2.676248550415039
kind-worker2,1768909089.5743608,1.2,20.4,1219565,2205371,3.298521041870117
kind-worker,1768909089.5775347,1.2,20.4,1220587,2206463,2.8884410858154297
kind-worker2,1768909094.5896695,1.4,20.4,1220196,2206454,10.742902755737305
kind-worker,1768909094.5904493,1.4,20.4,1221134,2207462,10.87331771850586
kind-worker,1768909099.5993953,1.5,20.4,1221681,2208461,2.8710365295410156
kind-worker2,1768909099.6105664,1.5,20.4,1220743,2207453,18.512964248657227
kind-worker,1768909104.6103463,1.2,20.4,1222270,2209502,3.9076805114746094
kind-worker2,1768909104.6158037,1.2,20.4,1221290,2208452,2.8879642486572266
kind-worker,1768909109.616096,1.6,20.4,1222817,2210501,3.3426284790039062
kind-worker2,1768909109.623712,1.6,20.4,1221837,2209451,2.7360916137695312
kind-worker,1768909112.8626359,1.4,20.4,1223364,2211500,2.9861927032470703
kind-worker2,1768909112.8676817,1.4,20.4,1222384,2210450,2.8924942016601562
kind-worker,1768909117.8745806,1.5,20.4,1223911,2212499,4.398107528686523
kind-worker2,1768909117.874318,1.5,20.4,1222931,2211449,4.083156585693359
kind-worker2,1768909122.8835504,1.4,20.4,1223478,2212448,4.630565643310547
kind-worker,1768909122.8848574,1.4,20.4,1224458,2213498,4.20379638671875
kind-worker,1768909127.8913863,1.6,20.4,1225047,2214539,3.8933753967285156
kind-worker2,1768909127.9108098,1.6,20.4,1224067,2213489,20.295381546020508
kind-worker,1768909132.9102461,1.3,20.4,1225594,2215538,12.072563171386719
kind-worker2,1768909132.9180257,1.3,20.4,1224656,2214530,2.8390884399414062
kind-worker,1768909137.9220953,1.6,20.4,1226183,2216579,3.827333450317383
kind-worker2,1768909137.9252498,1.6,20.4,1225203,2215529,3.0286312103271484
kind-worker,1768909142.928922,1.2,20.4,1226730,2217578,4.393100738525391
kind-worker2,1768909142.9307306,1.2,20.4,1225750,2216528,4.293680191040039
kind-worker2,1768909146.3181489,1.4,20.4,1226297,2217527,3.818035125732422
kind-worker,1768909146.3187354,1.4,20.4,1227277,2218577,4.07719612121582
kind-worker2,1768909151.3259137,1.2,20.4,1226844,2218526,3.7415027618408203
kind-worker,1768909151.3286989,1.2,20.4,1227866,2219618,3.785848617553711
kind-worker2,1768909156.334897,1.6,20.4,1227391,2219525,2.891063690185547
kind-worker,1768909156.337512,1.6,20.4,1228413,2220617,2.936124801635742
kind-worker,1768909161.3471851,1.1,20.4,1228960,2221616,3.9615631103515625
kind-worker2,1768909161.3646257,1.1,20.4,1227980,2220566,23.18859100341797
kind-worker,1768909166.3567345,1.7,20.4,1229507,2222615,4.2705535888671875
kind-worker2,1768909166.3726568,1.7,20.4,1228527,2221565,3.3490657806396484
kind-worker,1768909171.3772848,1.4,20.4,1230054,2223614,13.90218734741211
kind-worker2,1768909171.3813107,1.3,20.4,1229116,2222606,2.7370452880859375
kind-worker,1768909174.4026437,1.5,20.4,1230601,2224613,3.9806365966796875
kind-worker2,1768909174.405113,1.5,20.4,1229663,2223605,3.1392574310302734
kind-worker,1768909179.411319,1.3,20.4,1231190,2225654,2.8438568115234375
kind-worker2,1768909179.4139457,1.2,20.4,1230210,2224604,2.910137176513672
kind-worker,1768909184.4178827,1.7,20.4,1231779,2226695,4.0187835693359375
kind-worker2,1768909184.439995,1.7,20.4,1230757,2225603,3.04412841796875
kind-worker,1768909189.4258063,1.2,20.4,1232326,2227694,3.5905838012695312
kind-worker2,1768909189.451575,1.1,20.4,1231346,2226644,3.8788318634033203
kind-worker,1768909194.432619,1.5,20.4,1232873,2228693,3.1442642211914062
kind-worker2,1768909194.46276,1.5,20.4,1231893,2227643,3.428220748901367
kind-worker,1768909199.444064,1.3,20.4,1233420,2229692,4.392862319946289
kind-worker2,1768909199.4733765,1.3,20.4,1232440,2228642,3.603219985961914
kind-worker,1768909204.4678648,1.5,20.4,1234009,2230733,20.44534683227539
kind-worker2,1768909204.4830167,1.5,20.4,1232987,2229641,2.994537353515625
kind-worker,1768909207.5158176,1.6,20.4,1234556,2231732,18.140792846679688
kind-worker2,1768909207.516564,1.6,20.4,1233576,2230682,3.2300949096679688
kind-worker2,1768909212.5266001,1.5,20.4,1234123,2231681,4.462003707885742
kind-worker,1768909212.5268643,1.5,20.4,1235103,2232731,3.8847923278808594
kind-worker2,1768909217.5382538,1.3,20.4,1234670,2232680,3.718852996826172
kind-worker,1768909217.5380452,1.3,20.4,1235650,2233730,4.23884391784668
kind-worker2,1768909222.549373,1.7,20.4,1235259,2233721,3.4437179565429688
kind-worker,1768909222.5491335,1.7,20.4,1236197,2234729,3.7908554077148438
kind-worker,1768909227.5606332,1.3,20.4,1236744,2235728,4.621982574462891
kind-worker2,1768909227.5655572,1.3,20.4,1235806,2234720,3.391742706298828
kind-worker2,1768909232.5932322,1.5,20.4,1236353,2235719,15.226125717163086
kind-worker,1768909232.5941153,1.5,20.4,1237375,2236811,26.981592178344727
kind-worker2,1768909235.2886777,1.2,20.4,1236900,2236718,3.566741943359375
kind-worker,1768909235.289409,1.2,20.4,1237922,2237810,3.239154815673828
kind-worker2,1768909240.2996864,1.5,20.4,1237447,2237717,4.129171371459961
kind-worker,1768909240.3009436,1.5,20.4,1238469,2238809,4.478693008422852
kind-worker,1768909245.3125114,1.4,20.4,1239016,2239808,5.074501037597656
kind-worker2,1768909245.3134785,1.4,20.4,1238036,2238758,4.137516021728516
kind-worker,1768909250.3188226,1.5,20.4,1239605,2240807,3.345012664794922
kind-worker2,1768909250.322593,1.5,20.4,1238625,2239799,2.8905868530273438
kind-worker,1768909255.3245986,1.2,20.4,1240152,2241848,4.258871078491211
kind-worker2,1768909255.331564,1.2,20.4,1239172,2240798,2.9158592224121094
kind-worker,1768909260.3400347,1.5,20.4,1240699,2242847,3.526926040649414
kind-worker2,1768909260.3422763,1.5,20.4,1239719,2241797,3.5262107849121094
kind-worker,1768909265.36213,1.3,20.4,1241246,2243846,21.00205421447754
kind-worker2,1768909265.3628695,1.3,20.4,1240266,2242796,14.564275741577148
kind-worker2,1768909268.386189,1.6,20.4,1240813,2243795,4.0531158447265625
kind-worker,1768909268.3981683,1.6,20.4,1241793,2244845,12.41302490234375
kind-worker2,1768909273.3970532,1.3,20.4,1241360,2244794,4.129171371459961
kind-worker,1768909273.4030693,1.3,20.4,1242340,2245844,3.3159255981445312
kind-worker2,1768909278.408187,1.9,20.4,1241907,2245793,4.442453384399414
kind-worker,1768909278.4114842,1.9,20.4,1242971,2246927,3.1833648681640625
kind-worker2,1768909283.4183738,1.2,20.4,1242496,2246834,3.440380096435547
kind-worker,1768909283.4193122,1.2,20.4,1243518,2247926,2.8340816497802734
kind-worker,1768909288.427261,1.4,20.4,1244065,2248925,2.897024154663086
kind-worker2,1768909288.4418926,1.4,20.4,1243085,2247875,3.0295848846435547
kind-worker,1768909293.437552,1.3,20.4,1244612,2249924,3.7598609924316406
kind-worker2,1768909293.451728,1.3,20.4,1243632,2248874,3.3800601959228516
kind-worker,1768909296.4507554,1.6,20.4,1245159,2250923,4.714012145996094
kind-worker2,1768909296.4623122,1.6,20.4,1244179,2249873,2.973318099975586
kind-worker,1768909301.4702141,1.4,20.4,1245706,2251922,12.849569320678711
kind-worker2,1768909301.4719908,1.4,20.4,1244726,2250872,2.929210662841797
kind-worker,1768909306.481847,1.5,20.4,1246295,2252963,4.669904708862305
kind-worker2,1768909306.4979603,1.5,20.4,1245273,2251871,19.376039505004883
kind-worker,1768909311.494837,1.2,20.4,1246842,2253962,4.115581512451172
kind-worker2,1768909311.50953,1.2,20.4,1245820,2252870,3.3347606658935547
kind-worker,1768909316.5048358,1.5,20.4,1247389,2254961,3.858804702758789
kind-worker2,1768909316.5171564,1.5,20.4,1246367,2253869,2.9773712158203125
kind-worker,1768909321.519586,1.2,20.4,1247936,2255960,4.590749740600586
kind-worker2,1768909321.524593,1.2,20.4,1246998,2254952,2.929210662841797
kind-worker2,1768909324.6351056,1.6,20.4,1247545,2255951,4.093408584594727
kind-worker,1768909324.6352427,1.6,20.4,1248525,2257001,4.433155059814453
kind-worker,1768909329.6400473,1.3,20.4,1249114,2258042,3.1585693359375
kind-worker2,1768909329.644198,1.3,20.4,1248092,2256950,2.677440643310547
kind-worker,1768909334.646143,1.6,20.4,1249661,2259041,4.484653472900391
kind-worker2,1768909334.6533837,1.6,20.4,1248639,2257949,3.1969547271728516
kind-worker,1768909339.678129,1.3,20.4,1250208,2260040,24.878501892089844
kind-worker2,1768909339.67915,1.3,20.4,1249186,2258948,19.337177276611328
kind-worker,1768909344.6833282,1.3,20.4,1250755,2261039,2.4013519287109375
kind-worker2,1768909344.6832592,1.3,20.4,1249733,2259947,2.292156219482422
kind-worker,1768909349.6938686,1.0,20.4,1251302,2262038,3.354787826538086
kind-worker2,1768909349.6935148,1.0,20.4,1250280,2260946,3.280162811279297
kind-worker,1768909354.699578,1.4,20.4,1251849,2263037,3.6745071411132812
kind-worker2,1768909354.7038982,1.4,20.4,1250869,2261987,3.3562183380126953
kind-worker,1768909357.7234678,1.1,20.4,1252438,2264078,3.751993179321289
kind-worker2,1768909357.7282357,1.1,20.4,1251458,2263028,3.0689239501953125
kind-worker,1768909362.7350416,1.7,20.4,1252985,2265077,4.294872283935547
kind-worker2,1768909362.7379339,1.7,20.4,1252005,2264027,3.2186508178710938
kind-worker,1768909367.7457597,1.3,20.4,1253532,2266076,4.033803939819336
kind-worker2,1768909367.7513015,1.3,20.4,1252552,2265026,3.083467483520508
kind-worker,1768909372.7633386,1.3,20.4,1254121,2267117,11.649131774902344
kind-worker2,1768909372.7669435,1.3,20.4,1253099,2266025,9.723186492919922
kind-worker,1768909377.7740734,1.2,20.4,1254668,2268116,3.8576126098632812
kind-worker2,1768909377.7776735,1.2,20.4,1253646,2267024,3.6165714263916016
kind-worker,1768909382.783895,1.4,20.4,1255257,2269157,3.9129257202148438
kind-worker2,1768909382.7898054,1.4,20.4,1254193,2268023,2.8676986694335938
kind-worker,1768909385.9854517,1.2,20.4,1255804,2270156,3.8976669311523438
kind-worker2,1768909385.9899948,1.2,20.4,1254824,2269106,3.095865249633789
kind-worker,1768909390.9932349,1.6,20.4,1256351,2271155,3.5839080810546875
kind-worker2,1768909390.9964056,1.6,20.4,1255371,2270105,2.7358531951904297
kind-worker,1768909395.999687,1.3,20.4,1256898,2272154,3.266572952270508
kind-worker2,1768909396.0047264,1.3,20.4,1255918,2271104,2.880096435546875
kind-worker,1768909401.008394,1.5,20.4,1257445,2273153,3.0815601348876953
kind-worker2,1768909401.0140538,1.5,20.4,1256465,2272103,2.9582977294921875
kind-worker2,1768909406.042697,1.2,20.4,1257012,2273102,24.01423454284668
kind-worker,1768909406.043775,1.2,20.4,1258034,2274194,28.91707420349121
kind-worker2,1768909411.0739548,1.5,20.4,1257559,2274101,24.576187133789062
kind-worker,1768909411.0747478,1.5,20.4,1258581,2275193,24.071693420410156
kind-worker2,1768909416.0838964,1.1,20.4,1258148,2275142,2.9790401458740234
kind-worker,1768909416.0844023,1.1,20.4,1259128,2276192,2.874135971069336
kind-worker,1768909419.1843007,1.6,20.6,1259675,2277191,2.9096603393554688
kind-worker2,1768909419.1839416,1.5,20.6,1258737,2276183,3.4074783325195312
kind-worker2,1768909424.1958685,3.6,20.6,1259284,2277182,4.158735275268555
kind-worker,1768909424.1960628,3.6,20.6,1260264,2278232,4.319667816162109
kind-worker,1768909429.2050889,1.4,20.6,1260853,2279273,2.9664039611816406
kind-worker2,1768909429.204949,1.4,20.6,1259831,2278181,2.9227733612060547
kind-worker,1768909434.2136445,1.2,20.6,1261400,2280272,4.169940948486328
kind-worker2,1768909434.219519,1.2,20.6,1260378,2279180,3.0469894409179688
kind-worker,1768909439.2236588,1.3,20.6,1261947,2281271,3.1914710998535156
kind-worker2,1768909439.2283802,1.3,20.6,1260925,2280179,3.5729408264160156
kind-worker,1768909444.2494876,3.5,20.7,1262494,2282270,22.674560546875
kind-worker2,1768909444.2489135,3.5,20.7,1261514,2281220,14.487028121948242
kind-worker2,1768909447.3540494,8.1,20.7,1262061,2282219,2.9091835021972656
kind-worker,1768909447.354886,8.1,20.7,1263041,2283269,3.022432327270508
kind-worker,1768909452.362404,7.9,20.7,1263588,2284268,3.256559371948242
kind-worker2,1768909452.3627815,7.9,20.7,1262650,2283260,2.9425621032714844
kind-worker,1768909457.3720305,7.8,20.7,1264177,2285309,3.3211708068847656
kind-worker2,1768909457.3717935,7.8,20.7,1263197,2284259,2.6607513427734375
kind-worker2,1768909462.3792384,7.7,20.7,1263744,2285258,3.846406936645508
kind-worker,1768909462.383318,7.8,20.7,1264724,2286308,4.070043563842773
kind-worker2,1768909467.3841858,8.3,20.6,1264291,2286257,3.212451934814453
kind-worker,1768909467.3881514,8.2,20.6,1265271,2287307,3.1392574310302734
kind-worker2,1768909472.3939106,7.6,20.6,1264838,2287256,3.230571746826172
kind-worker,1768909472.399567,7.7,20.6,1265818,2288306,2.8944015502929688
kind-worker2,1768909477.4141605,7.8,20.6,1265427,2288297,14.5111083984375
kind-worker,1768909477.414992,7.7,20.6,1266407,2289347,13.838768005371094
kind-worker2,1768909480.219635,7.8,20.6,1265974,2289296,3.1867027282714844
kind-worker,1768909480.2225034,7.8,20.6,1266954,2290346,2.957582473754883
kind-worker2,1768909485.226398,5.8,20.6,1266563,2290337,2.587556838989258
kind-worker,1768909485.2305274,5.8,20.6,1267543,2291387,2.5167465209960938
kind-worker2,1768909490.2358198,1.2,20.6,1267110,2291336,3.170013427734375
kind-worker,1768909490.2394736,1.2,20.6,1268090,2292386,3.3953189849853516
kind-worker2,1768909495.2453368,1.3,20.6,1267657,2292335,3.1709671020507812
kind-worker,1768909495.2491186,1.3,20.6,1268637,2293385,3.0553340911865234
kind-worker2,1768909500.255887,1.3,20.6,1268204,2293334,3.779888153076172
kind-worker,1768909500.2571123,1.3,20.6,1269184,2294384,3.618955612182617
kind-worker2,1768909505.2617352,1.5,20.6,1268793,2294375,3.9794445037841797
kind-worker,1768909505.2652671,1.5,20.6,1269731,2295383,3.7009716033935547
kind-worker,1768909508.233025,1.3,20.6,1270320,2296424,21.105527877807617
kind-worker2,1768909508.2325149,1.3,20.6,1269340,2295374,18.924236297607422
kind-worker2,1768909513.2471855,1.2,20.6,1269887,2296373,13.588190078735352
kind-worker,1768909513.2480597,1.2,20.6,1270867,2297423,10.830402374267578
kind-worker,1768909518.252514,1.1,20.6,1271414,2298422,2.9191970825195312
kind-worker2,1768909518.2559597,1.1,20.6,1270476,2297414,2.8150081634521484
kind-worker,1768909523.2633414,2.4,20.4,1271961,2299421,3.573179244995117
kind-worker2,1768909523.2660227,2.4,20.4,1271023,2298413,3.0028820037841797
kind-worker,1768909528.2739902,1.4,20.4,1272550,2300462,3.2029151916503906
kind-worker2,1768909528.2762597,1.4,20.4,1271570,2299412,3.1766891479492188
kind-worker,1768909533.2832897,1.4,20.4,1273097,2301461,3.3309459686279297
kind-worker2,1768909533.2855735,1.4,20.4,1272159,2300453,3.215312957763672
kind-worker,1768909536.185774,1.2,20.4,1273686,2302502,3.329038619995117
kind-worker2,1768909536.1888945,1.2,20.4,1272706,2301452,3.0126571655273438
kind-worker2,1768909541.210883,1.4,20.4,1273253,2302451,15.98501205444336
kind-worker,1768909541.2117047,1.4,20.4,1274233,2303501,19.97995376586914
kind-worker2,1768909546.2281792,1.2,20.4,1273800,2303450,10.740518569946289
kind-worker,1768909546.2288496,1.3,20.4,1274780,2304500,9.668588638305664
kind-worker,1768909551.2371502,1.4,20.4,1275327,2305499,3.137350082397461
kind-worker2,1768909551.240649,1.4,20.4,1274389,2304491,3.484010696411133
kind-worker,1768909556.2482634,1.3,20.4,1275874,2306498,3.0853748321533203
kind-worker2,1768909556.2484162,1.3,20.4,1274936,2305490,3.196239471435547
kind-worker,1768909561.2593935,1.5,20.4,1276463,2307539,4.337549209594727
kind-worker2,1768909561.260084,1.5,20.4,1275525,2306531,3.5800933837890625
kind-worker,1768909566.267869,1.3,20.4,1277010,2308538,3.1099319458007812
kind-worker2,1768909566.2688665,1.3,20.4,1276072,2307530,2.918243408203125
kind-worker,1768909569.3197277,1.3,20.4,1277557,2309537,2.9098987579345703
kind-worker2,1768909569.3232048,1.2,20.4,1276619,2308529,2.8371810913085938
kind-worker2,1768909574.3303502,1.4,20.4,1277166,2309528,3.0951499938964844
kind-worker,1768909574.338189,1.3,20.4,1278104,2310536,12.536764144897461
kind-worker2,1768909579.348185,1.5,20.4,1277713,2310527,3.335237503051758
kind-worker,1768909579.367482,1.5,20.4,1278693,2311577,23.137569427490234
kind-worker2,1768909584.3574698,1.2,20.4,1278344,2311610,4.116058349609375
kind-worker,1768909584.3770688,1.2,20.4,1279282,2312618,3.0508041381835938
kind-worker2,1768909589.3667622,1.5,20.4,1278891,2312609,3.264188766479492
kind-worker,1768909589.3836393,1.5,20.4,1279829,2313617,3.0596256256103516
kind-worker2,1768909594.3779466,1.2,20.4,1279438,2313608,2.9082298278808594
kind-worker,1768909594.3937097,1.1,20.4,1280376,2314616,3.263711929321289
kind-worker2,1768909597.3904579,1.6,20.4,1279985,2314607,3.095388412475586
kind-worker,1768909597.4062712,1.6,20.4,1280923,2315615,3.1173229217529297
kind-worker2,1768909602.398412,1.2,20.4,1280532,2315606,3.335237503051758
kind-worker,1768909602.415659,1.2,20.4,1281470,2316614,2.8553009033203125
kind-worker2,1768909607.4256873,1.4,20.4,1281079,2316605,19.536495208740234
kind-worker,1768909607.4253016,1.4,20.4,1282017,2317613,2.933502197265625
kind-worker,1768909612.435886,1.2,20.4,1282606,2318654,3.201007843017578
kind-worker2,1768909612.4457083,1.2,20.4,1281626,2317604,12.808084487915039
kind-worker,1768909617.445484,1.5,20.4,1283153,2319653,3.046274185180664
kind-worker2,1768909617.459803,1.5,20.4,1282257,2318687,3.3063888549804688
kind-worker,1768909622.4550571,1.2,20.4,1283700,2320652,3.344297409057617
kind-worker2,1768909622.4683797,1.2,20.4,1282804,2319686,2.6285648345947266
kind-worker,1768909627.4615169,1.5,20.4,1284247,2321651,3.537893295288086
kind-worker2,1768909627.4790072,1.6,20.4,1283351,2320685,3.7610530853271484
kind-worker,1768909630.563016,1.2,20.4,1284836,2322692,3.0219554901123047
kind-worker2,1768909630.580202,1.2,20.4,1283898,2321684,2.783536911010742
kind-worker,1768909635.5736184,1.6,20.4,1285383,2323691,3.4165382385253906
kind-worker2,1768909635.5899868,1.6,20.4,1284445,2322683,3.0260086059570312
kind-worker2,1768909640.5965118,1.2,20.4,1284992,2323682,3.3452510833740234
kind-worker,1768909640.5994356,1.1,20.4,1285930,2324690,19.600391387939453
kind-worker,1768909645.6127636,1.6,20.4,1286477,2325689,11.958837509155273
kind-worker2,1768909645.6513965,1.6,20.4,1285539,2324681,3.351449966430664
kind-worker,1768909650.618842,1.2,20.4,1287024,2326688,3.175497055053711
kind-worker2,1768909650.66129,1.2,20.4,1286086,2325680,3.683805465698242
kind-worker,1768909655.6284645,1.5,20.4,1287613,2327729,2.900838851928711
kind-worker2,1768909655.6733265,1.6,20.4,1286717,2326763,3.680706024169922
kind-worker,1768909658.666186,1.1,20.4,1288160,2328728,3.0095577239990234
kind-worker2,1768909658.7140565,1.1,20.4,1287264,2327762,2.927064895629883
kind-worker,1768909663.6757436,1.5,20.4,1288707,2329727,3.154277801513672
kind-worker2,1768909663.7247944,1.5,20.4,1287811,2328761,3.1380653381347656
kind-worker,1768909668.6849694,1.1,20.4,1289254,2330726,3.0913352966308594
kind-worker2,1768909668.737781,1.1,20.4,1288358,2329760,3.0400753021240234
kind-worker,1768909673.7127168,1.6,20.4,1289801,2331725,20.018815994262695
kind-worker2,1768909673.7491562,1.6,20.4,1288905,2330759,3.112316131591797
kind-worker,1768909678.7186024,1.2,20.4,1290390,2332766,2.7265548706054688
kind-worker2,1768909678.7587557,1.3,20.4,1289452,2331758,3.348112106323242
kind-worker,1768909683.7376611,1.3,20.4,1290937,2333765,12.534141540527344
kind-worker2,1768909683.7699096,1.4,20.4,1289999,2332757,3.223419189453125
kind-worker,1768909688.7493083,1.2,20.4,1291484,2334764,4.22358512878418
kind-worker2,1768909688.7835143,1.2,20.4,1290588,2333798,3.8788318634033203
kind-worker,1768909691.7935624,1.3,20.4,1292031,2335763,4.342079162597656
kind-worker2,1768909691.826743,1.3,20.4,1291177,2334839,3.692626953125
kind-worker,1768909696.7984772,1.3,20.4,1292620,2336804,3.7763118743896484
kind-worker2,1768909696.8378267,1.3,20.4,1291724,2335838,4.006862640380859
kind-worker,1768909701.8106225,1.5,20.4,1293167,2337803,4.948616027832031
kind-worker2,1768909701.8498843,1.6,20.4,1292271,2336837,3.917217254638672
kind-worker,1768909706.8216293,1.3,20.4,1293714,2338802,4.151344299316406
kind-worker2,1768909706.8776002,1.3,20.4,1292818,2337836,20.73502540588379
kind-worker,1768909711.8339195,1.7,20.4,1294261,2339801,3.248453140258789
kind-worker2,1768909711.8876526,1.7,20.4,1293365,2338835,3.084421157836914
kind-worker,1768909716.844127,1.3,20.4,1294808,2340800,3.6013126373291016
kind-worker2,1768909716.909299,1.3,20.4,1293912,2339834,11.793851852416992
kind-worker,1768909719.9204223,1.6,20.4,1295355,2341799,2.9594898223876953
kind-worker2,1768909719.9844177,1.6,20.4,1294501,2340875,3.3142566680908203
kind-worker,1768909724.9303448,1.1,20.4,1295944,2342840,4.211187362670898
kind-worker2,1768909725.0025723,1.1,20.4,1295090,2341916,3.3211708068847656
kind-worker,1768909729.9378018,1.7,20.4,1296491,2343839,3.089427947998047
kind-worker2,1768909730.0089035,1.6,20.4,1295637,2342915,2.942323684692383
kind-worker,1768909734.9453793,1.2,20.4,1297038,2344838,3.399372100830078
kind-worker2,1768909735.0177824,1.2,20.4,1296184,2343914,2.952098846435547
kind-worker,1768909739.9601653,1.4,20.4,1297627,2345879,13.367176055908203
kind-worker2,1768909740.0278893,1.3,20.4,1296731,2344913,3.793478012084961
kind-worker,1768909744.9710884,1.2,20.4,1298174,2346878,4.389047622680664
kind-worker2,1768909745.0408354,1.1,20.4,1297278,2345912,4.194021224975586
kind-worker,1768909749.9800215,1.7,20.4,1298721,2347877,3.0088424682617188
kind-worker2,1768909750.0677671,1.7,20.4,1297825,2346911,21.06475830078125
kind-worker,1768909753.0730543,1.2,20.4,1299268,2348876,3.5448074340820312
kind-worker2,1768909753.1617067,1.2,20.4,1298456,2347994,3.7097930908203125
kind-worker,1768909758.0845368,1.5,20.4,1299815,2349875,3.613710403442383
kind-worker2,1768909758.1708217,1.5,20.4,1299003,2348993,3.034830093383789
kind-worker,1768909763.0906808,1.2,20.4,1300362,2350874,3.158092498779297
kind-worker2,1768909763.1840987,1.2,20.4,1299550,2349992,3.451108932495117
kind-worker,1768909768.101383,1.6,20.4,1300909,2351873,3.0739307403564453
kind-worker2,1768909768.1944604,1.6,20.4,1300097,2350991,3.460407257080078
kind-worker,1768909773.1116211,1.1,20.4,1301498,2352914,3.197908401489258
kind-worker2,1768909773.222756,1.1,20.4,1300644,2351990,23.984432220458984
kind-worker,1768909778.1182253,1.6,20.4,1302045,2353913,3.107786178588867
kind-worker2,1768909778.2399738,1.6,20.4,1301191,2352989,3.342866897583008
kind-worker,1768909781.0727735,1.3,20.4,1302634,2354954,12.560606002807617
kind-worker2,1768909781.1863515,1.3,20.4,1301738,2353988,3.0167102813720703
kind-worker,1768909786.0817368,1.9,20.4,1303181,2355953,3.751039505004883
kind-worker2,1768909786.1906035,1.9,20.4,1302285,2354987,3.285646438598633
kind-worker,1768909791.0946207,1.1,20.4,1303728,2356952,3.459930419921875
kind-worker2,1768909791.2003217,1.1,20.4,1302916,2356070,3.1507015228271484
kind-worker,1768909796.1005485,1.4,20.4,1304275,2357951,2.978801727294922
kind-worker2,1768909796.2095218,1.4,20.4,1303463,2357069,2.9268264770507812
kind-worker,1768909801.1066215,1.3,20.4,1304822,2358950,3.542184829711914
kind-worker2,1768909801.224537,1.3,20.4,1304010,2358068,4.60362434387207
kind-worker,1768909806.13352,1.4,20.4,1305369,2359949,20.412921905517578
kind-worker2,1768909806.2347836,1.4,20.4,1304557,2359067,3.779888153076172
kind-worker,1768909808.9831524,1.3,20.4,1305916,2360948,3.1867027282714844
kind-worker2,1768909809.0865993,1.3,20.4,1305104,2360066,3.1499862670898438
kind-worker,1768909814.0076716,1.5,20.4,1306463,2361947,18.616199493408203
kind-worker2,1768909814.0963156,1.5,20.4,1305651,2361065,3.668546676635742
kind-worker,1768909819.0194476,1.2,20.4,1307052,2362988,4.5623779296875
kind-worker2,1768909819.108501,1.2,20.4,1306198,2362064,4.088401794433594
kind-worker,1768909824.0319827,1.5,20.4,1307641,2364029,4.554033279418945
kind-worker2,1768909824.119314,1.5,20.4,1306787,2363105,3.7147998809814453
kind-worker,1768909829.0429688,1.3,20.4,1308188,2365028,4.0988922119140625
kind-worker2,1768909829.1298196,1.3,20.4,1307376,2364146,3.8585662841796875
kind-worker,1768909834.0672433,1.5,20.4,1308735,2366027,14.542579650878906
kind-worker2,1768909834.1472075,1.5,20.4,1307923,2365145,11.319875717163086
kind-worker,1768909839.08177,1.1,20.4,1309282,2367026,4.548549652099609
kind-worker2,1768909839.163509,1.1,20.4,1308470,2366144,4.463911056518555
kind-worker,1768909841.8532102,1.6,20.4,1309829,2368025,4.580259323120117
kind-worker2,1768909841.9333725,1.7,20.4,1309017,2367143,3.503561019897461
kind-worker,1768909846.8588507,1.5,20.4,1310376,2369024,3.0164718627929688
kind-worker2,1768909846.943122,1.4,20.4,1309564,2368142,3.4766197204589844
kind-worker,1768909851.8725314,1.4,20.4,1310923,2370023,4.121303558349609
kind-worker2,1768909851.9527428,1.5,20.4,1310111,2369141,3.439188003540039
kind-worker,1768909856.8823485,1.4,20.4,1311470,2371022,3.036975860595703
kind-worker2,1768909856.9599962,1.4,20.4,1310700,2370182,2.7081966400146484
kind-worker,1768909861.887998,1.5,20.4,1312017,2372021,4.33039665222168
kind-worker2,1768909861.9669952,1.4,20.4,1311289,2371223,3.101348876953125
kind-worker,1768909866.908345,1.1,20.4,1312648,2373104,16.465187072753906
kind-worker2,1768909866.9850125,1.1,20.4,1311836,2372222,11.717557907104492
kind-worker,1768909869.8278558,1.4,20.4,1313195,2374103,4.44793701171875
kind-worker2,1768909869.9002612,1.4,20.4,1312383,2373221,4.255533218383789
kind-worker,1768909874.838637,1.1,20.4,1313742,2375102,3.742218017578125
kind-worker2,1768909874.906058,1.1,20.4,1312930,2374220,3.446340560913086
kind-worker,1768909879.8478737,1.5,20.4,1314289,2376101,3.3006668090820312
kind-worker2,1768909879.9159892,1.5,20.4,1313477,2375219,3.9300918579101562
kind-worker,1768909884.8581264,1.1,20.4,1314836,2377100,3.4987926483154297
kind-worker2,1768909884.9222581,1.1,20.4,1314024,2376218,3.5266876220703125
kind-worker,1768909889.8658342,1.4,20.4,1315383,2378099,3.064870834350586
kind-worker2,1768909889.9317188,1.4,20.4,1314613,2377259,3.3075809478759766
kind-worker,1768909894.8743255,1.2,20.4,1315930,2379098,2.6977062225341797
kind-worker2,1768909894.9362953,1.2,20.4,1315202,2378300,2.7964115142822266
kind-worker,1768909899.9004455,1.5,20.4,1316477,2380097,19.82426643371582
kind-worker2,1768909899.9595628,1.5,20.4,1315749,2379299,18.909454345703125
kind-worker,1768909902.8020961,1.2,20.4,1317024,2381096,2.8886795043945312
