timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,net_drop_rate,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1776407857,normal,k3s-wk1,0.258777777777747,0.6318742288593158,0.0,0.0,10730.633333333333,11827.0,0.0,0,0,0,0,0,0,{}
1776407857,normal,sw-wk3,0.17166666666663422,0.404019649069154,213.66666666666666,193.33333333333334,2671.1,4990.766666666666,0.0,0,0,0,0,0,0,{}
1776407857,normal,sw-wk2,0.19277777777776162,0.27934458503765436,115.96666666666667,100.86666666666666,5379.466666666666,4175.733333333334,0.0,0,0,0,0,0,0,{}
1776407867,normal,k3s-wk1,0.28211111111110465,0.6566455535449612,149.60000000000002,146.06666666666666,9059.9,3757.366666666667,0.0,0,18,2,0,12,0,"{""process_exit"": 18, ""process_exec"": 18, ""process_kprobe"": 12}"
1776407867,normal,sw-wk3,0.17166666666663433,0.404019649069154,213.66666666666666,193.33333333333334,2671.1,4990.766666666666,0.0,0,1,1,0,0,0,"{""process_exit"": 5, ""process_exec"": 1}"
1776407867,normal,sw-wk2,0.19277777777776162,0.27934458503765436,115.96666666666667,100.86666666666666,5379.466666666666,4175.733333333334,0.0,0,0,0,0,0,0,{}
1776407877,normal,k3s-wk1,0.28211111111110465,0.6566455535449612,149.6,146.06666666666666,9059.9,3757.366666666667,0.0,0,15,2,0,10,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 10}"
1776407877,normal,sw-wk3,0.17166666666663433,0.404019649069154,213.66666666666666,193.33333333333334,2671.1,4990.766666666666,0.0,0,0,0,0,0,0,{}
1776407877,normal,sw-wk2,0.12083638868522795,0.278957528957529,116.0255982934471,100.85994267048864,998.800079994667,3688.7874141723883,0.0,0,0,0,0,0,0,{}
1776407887,normal,k3s-wk1,0.28211111111110465,0.6566455535449612,149.6,146.06666666666666,9059.9,3757.366666666667,0.0,0,57,3,0,50,0,"{""process_exit"": 57, ""process_exec"": 57, ""process_kprobe"": 50}"
1776407887,normal,sw-wk3,0.16477777777783764,0.4048479172241548,213.66666666666666,188.4,3944.4333333333334,6128.3,0.0,0,0,0,0,0,0,{}
1776407887,normal,sw-wk2,0.12083638868522795,0.278957528957529,116.0255982934471,100.85994267048864,998.800079994667,3688.7874141723883,0.0,0,106,7,0,0,0,"{""process_exec"": 106, ""process_exit"": 106}"
1776407897,normal,k3s-wk1,0.31133333333333824,0.6582394794680442,223.86666666666667,208.6666666666667,33939.066666666666,9656.666666666666,0.0,0,57,3,0,50,0,"{""process_exit"": 57, ""process_exec"": 57, ""process_kprobe"": 50}"
